text,true_emotion,predicted_emotion
"@marcavis @AntisocialJW2 I've always been fiery, but never radical.",anger,anger
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster,anger,sadness
i live and die for mchanzo honeymoon crashing and burning the second they move in together,anger,sadness
"@Yoshi_OnoChin can you please not have Canadian players play US players, that lag  is atrocious. #fixthisgame #trash #sfvrefund ",anger,anger
@LiamCannon1 He's just too raging to type properly... Ha ha!,anger,anger
"@FluDino Event started! everyone is getting ready to travel to the lake of rage, where everything glows",anger,joy
For the first time in my madden career I just set up a farm account. Should make MOTM much easier,anger,joy
"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger,anger
@DJ_JeanFranko growl!!!,anger,anger
Everybody talking about 'the first day of fall' but summer '16 is never gonna die #revenge @Drake,anger,sadness
@ZubairSabirPTI  pls dont insult the word 'Molna',anger,anger
"@reluctantnicko Don't ask, you don't get. Apologies if I've offended you. All due respect Alan, I think you've been fed duff info.",anger,sadness
@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.,anger,sadness
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger,joy
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman ",anger,anger
My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger,anger
"@MaddenFreestyle i turn the game on wanting to play madden, and before i load up a game i just turn it off now.",anger,sadness
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,anger,anger
@komal_sidhnani true...\nThey r burning with other's pleasure!\nPpl in true love happiness everywhere _😃,anger,joy
"@CozanGaming that's what lisa asked before she started raging at me, 'can I call you?' heh",anger,anger
Trying to book holiday flights on @britishairways website is becoming a #nightmare,fear,fear
I don't want speak front to him   #nopanicattack,fear,fear
"Gahh...BT, in queue for 30 minutes.. Now put through to BT Sport dept to cancel... back in a queue again... ",fear,sadness
So about 18mths ago i signed up to @Lumo_Energy for their @VirginAustralia / Velocity FF deal. 18 months in still no FF points ,fear,sadness
#Awareness seek #shelter .#Letgo Old #habit of chasing #desires resultin in #anger #fear #worry .#Choose #Satisfaction within #Peace #Relax,fear,anger
It really is amazing the money they give to some of these QB's #nfl #texans #brock #terrible,fear,sadness
About 7 weeks till I can pick up my camera again. Though I think there is a group cemetery shoot in october I can make! #photography #horror,fear,fear
"By officialy adopting #BurhanWani, a #Hizbul terrorist, #Pakistan n #NawazSharif hv md a cardinal mistake 2day tht'll haunt fr years. #UNGA",fear,anger
The Apocalypse has hit our gym and it's  nothing what I thought it would be...\n\nEveryone is wearing vests! What if it's contagious? #afraid,fear,fear
It really is amazing the money they give to some of these QB's #nfl #texans #brock ,fear,sadness
"@JeffersonLake speaking of ex cobblers, saw Ricky Holmes at Charlton last week.. tracking back &amp; defending... I dread seeing Gorre on ball..",fear,sadness
Bout ta get my @dontbreathe on up in here! @WarrenTheaters #nervous #icantholdmybreaththatlong,fear,fear
"Are you worrying/worried?\n1Peter 5:7\nThrow all your worry on him, because he cares for you.#faith #leadership #worry #mindfulness #success",fear,fear
@joey_coops yes Hun! Avoid at all costs!! ,fear,anger
"He called me fat, so I pushed him into the lockers then he threaten to sue me' 😂",fear,anger
@TheDappaMc also £2.50 for a chocolate Feast ice lolly.. proper shocking 😩,fear,anger
Whatt a trailerrrr !!! @karanjohar @AnushkaSharma #RanbirKapoor #AishwaryaRaiBachchan i am COMPLETELY BLOWN !! #awestruck #longingformore,fear,joy
Dunno y am going to the Yorkshire scare grounds when I only lasted a minute in the Alton towers one before running out a fire exit crying,fear,fear
@SAHARTHERAPPER I unfollowed without hesitation &lt;3,fear,joy
Losing to Villa...'@M0tivati0nQuote: Most of the things people worry about are things that won't even matter to them a few months from now.',fear,sadness
I love my family so much #lucky #grateful #smartassfamily  #love,joy,joy
Somebody who has braved the storm is brewing. ,joy,sadness
Somebody who has braved the storm is brewing. #cheerful,joy,joy
A #new day to #live and #smile. Hope all the #followers a nice #night or #day. :D,joy,joy
"@DocBellsSwan *peers down at you, eyes crinkling with mirth and affection* I do love ye so, my bonnie Belle.",joy,joy
"@len_snart Mick nods. 'I would like that.' He went back to his food, smiling as he finished it.",joy,joy
