id,post,emotion
0x61c7ed,"Suddenly, the **average** block confirmation became an unchangeable API paramter? Wow. Just wow.",anger
0xb8e3b6,Last time i knew stealing posts from other people wasnt a rule,anger
0x7c743e,And it's hard to dance with a devil on your back\nSo shake him off.,anger
0xa4aab9,Had to delete my Facebook too much for me rolling_on_the_floor_laughing,anger
0x31dccb,Still salty about that fire alarm at 2am this morning.,anger
0xc93acf,Nah. I’ll be fine tho.,anger
0xeda818,Stop bothering them! Isn’t it annoying to tease animals nonstop? Even humans would snap—why not monkeys? Wouldn’t you want to hit back too?,anger
0x02bf4b,He said “my bad” like that undoes everything,anger
0x5e6f63,"I'm not advocating eating the pain away, but bring apples just in case.",anger
0x02c065,Nothing like slow Wi-Fi to ruin my day,anger
0x21a8ff,<USER> <USER> How awful!!!!!!,anger
0x86b896,You don’t understand the design of our government.,anger
0xefa826,"I never believe draft rumors of who teams are looking at or wanting, especially if its fan rumors.",anger
0x9f9af3,"His style may be tacky, fine—but not “suggestive.” Some see a good figure and instantly sexualize it.",anger
0xe788c8,Not fun at all — got angry and came home on New Year’s Eve. Those snobbish relatives aren’t worth visiting.,anger
0xd72d47,Why have #Emmerdale had to rob #robron of having their first child together for that vile woman/cheating sl smh #bitter,anger
0x9dbecb,Now you tell me! I’m heading at high speed towards a one-third-life crisis and need a change.,anger
0xe87250,It doesn’t help,anger
0xd142bc,Every buyer paid for that dance clip — that’s exactly why the livestream was shut down.,anger
0xb81221,"Online gaming is toxic. If those cuts were ever tapped, there would be lots of people in jail.",anger
0xeca0ce,"you can please some of the people, some of the time, but you can't please all of the people, all of the time...",anger
0x9c2d4f,The nerve to constantly mess things up.,anger
0xcf7f1a,<NAME> ! Get a DAMN good lawyer! Glad you're okay.,anger
0xeb6f24,"Sweetie, you claim you’re happy but you sure don’t sound like it.",anger
0xe12011,You sure seem angry. #itwillbeokay,anger
0xe69881,"If you are into sours they put out some decent stuff, but anything outside of that is completely forgettable and average.",anger
0xf0643d,is not needed for dogs. Wrong. In *this* case it wasn’t. It very often is.,anger
0xbb6514,Freaking hate cats (that are like that),anger
0x69dc6f,"Somewhere I rd a rpt tht Pakis wr afraid of TSD & asked it 2 shut dn. Congis obliged & exposed it,hounded them.time to revive. #BadlaofUri",anger
0xc328b2,"The bathroom on the first floor at my school had no soap dispenser, a destroyed toilet, and toilet paper so long it left the bathroom.",anger
0x1a2c37,"Oh wow, that’s unexpectedly good!",surprise
0x3749e7,"I thought you looked familiar, get back over to r/NCAAW",surprise
0x41876f,"I don’t even know what this show is, it’s basically “increasingly outlandish things happen to young people” the TV show.",surprise
0x676533,Wow that's a really great explanation. Makes sense!,surprise
0xcabcff,Any good reading on <NAME> ? I don't really know if I like her or not.,surprise
0xcbbf62,You're that Ninja...,surprise
0x36ef0f,Because they don't realize that the Act of Union occurred. Either that or people don't like that this guy is being pedantic.,surprise
0x265159,Adapt or die.,surprise
0x2c7f8c,Completely unforeseen and wild!,surprise
0xdb4ea0,How. Just how,surprise
0xb6d5f1,Completely unexpected and amazing!,surprise
0x369e57,"If donors really exist, I just want to know—what mindset did they have? Please satisfy my curiosity~",surprise
0xc6539d,Couples call each other insane and crazy from time to time. It doesn’t mean they actually think they are.,surprise
